word,occurences
redtape,1
alberteinstein,48
eltonjohn,38
worldwari,60
lapland,4
hemlock,11
aredbadgeofcourage,1
georgewallace,21
afrosheen,2
worldwarii,30
luxembourg,43
lace,19
redrivervalley,2
timothyleary,12
chicago,196
therevolutionarywar,19
wort,3
thelastoftheredhotmamas,1
thefbi,7
gridiron,1
utahgreatsaltlake,1
couple,1
nypd,1
italymothercabrini,1
andywilliams,2
maryland,59
crane,14
quantum,5
lalaw,8
saintpatrick,6
hankwilliamssr,7
missouristlouis,1
capitalism,5
work,8
cposharkey,2
estherwilliams,9
georgia,119
chemicalreactions,1
uncleunitednetworkcommandforlawandenforcement,1
saintaugustine,8
vanessawilliams,14
tennessee,68
caligula,23
theafricanqueenhumphreybogartkatharinehepburn,1
sovietunionchina,1
tigerwoods,46
threemeninatub,3
adolphusbusch,2
juanperon,11
fourth,1
thesalvationarmy,19
themasters,9
threeofakind,1
johnmyers,1
florida,141
joshua,21
huberthhumphrey,4
fairway,1
thebigthree,1
guyday,1
bullfighting,13
levites,2
unicef,8
bunker,3
threemileisland,11
haroldstratton,1
texasrangersnowwiththetigers,1
aaron,17
oldsmobile,5
standrews,7
thethreepennyopera,6
stefanogabbana,1
juangabriel,1
hyundai,9
nevergiveasuckeranevenbreak,1
eskimos,3
atlanta,67
carrolloconnor,3
saab,3
buddha,42
neverbeenkissed,2
penguins,16
brussels,31
abbiehoffman,7
maam,3
taekwondo,5
ineverpromisedyouarosegarden,1
arcticocean,8
copenhagen,43
rosierooseveltgrier,1
balaam,4
kimchi,2
theneverendingstory,4
roaldamundsen,9
parisorly,1
galegordon,3
saarinen,3
pusan,2
neversayneveragaintomorrowneverdies,1
ernestshackleton,4
minneapolisstpaul,4
mandypatinkin,4
vaalriver,1
drbenjaminspockbabyandchildcare,1
atoga,3
therock,13
little,7
thezoo,2
garlic,25
bologna,10
sidvicious,4
governess,3
limburgh,1
vaticancity,25
georgiafrontiere,1
janeausten,43
jacquelinekennedyonassis,20
pepélepew,4
missouri,71
romulusremus,8
tommyleejones,10
henryjames,30
cydcharisse,3
themuskrat,1
dhlawrence,28
hankaaron,27
middlemarch,4
thetempleofdendur,1
polyester,7
virginia,108
charleston,21
birdsnestsoup,3
floridastateuniversity,3
episcopal,1
amap,5
endorphins,4
fondue,8
scrabble,25
sunni,7
thecircle,1
anenduser,1
themathers,1
ceviche,5
oksanabaiul,3
zoroastrianism,9
distanceequalsratetimestime,1
ensenada,1
thesotweedfactor,1
moussaka,4
altheagibson,7
shofar,2
constant,3
enewetak,1
zenger,2
carbonara,4
daleythompson,1
moroni,1
pierredefermat,2
endymion,4
6222,1
shoes,29
ivory,16
australiandollar,1
gloves,15
fleacollar,1
crusades,7
dance,18
convictsprisoners,1
jaialai,11
40thanniversary,1
blackdeath,4
wolf,30
platinum,15
canberra,19
hammershotput,1
pullitoutfromunderhim,1
typesofplays,1
alcoholicbeverages,1
cameos,3
waltzingmatilda,9
driver,1
peppermintpatty,4
songofroland,1
megalomania,1
black,49
emu,9
balancebeam,4
daisyhillpuppyfarm,2
antonchekhov,21
mandible,4
bittersweet,6
finian,2
hawaii,157
seanocasey,5
kidneys,25
thisbe,5
barnstormer,1
damnyankees,15
agathachristie,53
centralnervoussystem,4
tristan,7
vichysoisse,1
funnygirl,12
newhampshire,52
btraven,1
smallintestine,4
adonis,7
quicksilver,4
wherescharley,1
lakeminnetonka,1
rosemaryrogers,1
carotidarteries,2
hero,7
numismatist,4
thekingandi,22
captainjohnsmith,1
tellysavalas,5
